origin,dest,count
ZH,ZH,66855
ZH,BE,1673
ZH,LU,1017
ZH,UR,84
ZH,SZ,1704
ZH,OW,70
ZH,NW,94
ZH,GL,250
ZH,ZG,1246
ZH,FR,173
ZH,SO,547
ZH,BS,540
ZH,BL,409
ZH,SH,996
ZH,AR,167
ZH,AI,50
ZH,SG,2444
ZH,GR,987
ZH,AG,6143
ZH,TG,2475
ZH,TI,445
ZH,VD,511
ZH,VS,179
ZH,NE,58
ZH,GE,226
ZH,JU,27
BE,ZH,2097
BE,BE,52112
BE,LU,815
BE,UR,33
BE,SZ,129
BE,OW,85
BE,NW,40
BE,GL,27
BE,ZG,177
BE,FR,1353
BE,SO,2405
BE,BS,324
BE,BL,347
BE,SH,52
BE,AR,23
BE,AI,7
BE,SG,314
BE,GR,290
BE,AG,1124
BE,TG,198
BE,TI,148
BE,VD,658
BE,VS,422
BE,NE,561
BE,GE,156
BE,JU,447
LU,ZH,1530
LU,BE,899
LU,LU,17371
LU,UR,122
LU,SZ,452
LU,OW,282
LU,NW,506
LU,GL,30
LU,ZG,679
LU,FR,50
LU,SO,331
LU,BS,143
LU,BL,112
LU,SH,41
LU,AR,17
LU,AI,2
LU,SG,204
LU,GR,148
LU,AG,1512
LU,TG,90
LU,TI,88
LU,VD,44
LU,VS,156
LU,NE,7
LU,GE,24
LU,JU,9
UR,ZH,110
UR,BE,40
UR,LU,108
UR,UR,1346
UR,SZ,94
UR,OW,30
UR,NW,29
UR,GL,9
UR,ZG,29
UR,FR,4
UR,SO,11
UR,BS,7
UR,BL,14
UR,SH,1
UR,AR,0
UR,AI,1
UR,SG,26
UR,GR,34
UR,AG,31
UR,TG,10
UR,TI,6
UR,VD,1
UR,VS,16
UR,NE,1
UR,GE,1
UR,JU,0
SZ,ZH,1428
SZ,BE,123
SZ,LU,507
SZ,UR,102
SZ,SZ,4210
SZ,OW,29
SZ,NW,40
SZ,GL,129
SZ,ZG,381
SZ,FR,7
SZ,SO,56
SZ,BS,33
SZ,BL,21
SZ,SH,18
SZ,AR,14
SZ,AI,9
SZ,SG,497
SZ,GR,129
SZ,AG,330
SZ,TG,94
SZ,TI,43
SZ,VD,53
SZ,VS,23
SZ,NE,10
SZ,GE,13
SZ,JU,3
OW,ZH,107
OW,BE,101
OW,LU,344
OW,UR,31
OW,SZ,26
OW,OW,992
OW,NW,163
OW,GL,2
OW,ZG,30
OW,FR,6
OW,SO,19
OW,BS,7
OW,BL,16
OW,SH,1
OW,AR,6
OW,AI,1
OW,SG,11
OW,GR,18
OW,AG,49
OW,TG,5
OW,TI,9
OW,VD,3
OW,VS,4
OW,NE,0
OW,GE,3
OW,JU,0
NW,ZH,132
NW,BE,57
NW,LU,519
NW,UR,58
NW,SZ,45
NW,OW,187
NW,NW,1259
NW,GL,8
NW,ZG,61
NW,FR,10
NW,SO,14
NW,BS,13
NW,BL,10
NW,SH,4
NW,AR,0
NW,AI,0
NW,SG,18
NW,GR,23
NW,AG,70
NW,TG,13
NW,TI,6
NW,VD,7
NW,VS,8
NW,NE,0
NW,GE,1
NW,JU,2
GL,ZH,268
GL,BE,38
GL,LU,25
GL,UR,1
GL,SZ,141
GL,OW,3
GL,NW,1
GL,GL,962
GL,ZG,6
GL,FR,8
GL,SO,29
GL,BS,4
GL,BL,13
GL,SH,9
GL,AR,0
GL,AI,3
GL,SG,301
GL,GR,60
GL,AG,84
GL,TG,30
GL,TI,11
GL,VD,4
GL,VS,8
GL,NE,0
GL,GE,0
GL,JU,0
ZG,ZH,1218
ZG,BE,150
ZG,LU,746
ZG,UR,29
ZG,SZ,392
ZG,OW,31
ZG,NW,23
ZG,GL,10
ZG,ZG,4168
ZG,FR,18
ZG,SO,65
ZG,BS,51
ZG,BL,52
ZG,SH,16
ZG,AR,12
ZG,AI,2
ZG,SG,67
ZG,GR,41
ZG,AG,537
ZG,TG,31
ZG,TI,64
ZG,VD,67
ZG,VS,24
ZG,NE,3
ZG,GE,18
ZG,JU,5
FR,ZH,267
FR,BE,1522
FR,LU,55
FR,UR,1
FR,SZ,11
FR,OW,2
FR,NW,4
FR,GL,1
FR,ZG,30
FR,FR,15341
FR,SO,69
FR,BS,47
FR,BL,18
FR,SH,3
FR,AR,2
FR,AI,0
FR,SG,34
FR,GR,18
FR,AG,101
FR,TG,18
FR,TI,45
FR,VD,2178
FR,VS,391
FR,NE,231
