id,name,lat,lon
ZH,Zürich,47.41260612,8.654789285
LU,Luzern,47.06748397,8.110050801
UR,Uri,46.7719997,8.628549055
SZ,Schwyz,47.06179416,8.756141692
OW,Obwalden,46.85245963,8.243185556
NW,Nidwalden,46.92618108,8.405343061
GL,Glarus,46.98114439,9.065751666
ZG,Zug,47.15682372,8.537489989
FR,Fribourg,46.71817057,7.077054878
SO,Solothurn,47.30448119,7.638972981
BS,Basel-Stadt,47.56462832,7.615071304
BL,Basel-Landschaft,47.45135672,7.702698349
SH,Schaffhausen,47.71360898,8.592669293
AR,Appenzell Ausserrhoden,47.3654279,9.367015997
SG,St. Gallen,47.23375658,9.275177132
AI,Appenzell Innerrhoden,47.31743422,9.416055918
AG,Aargau,47.4092835,8.156747028
GR,Graubünden/Grigioni,46.65611381,9.62788288
TI,Ticino,46.29486184,8.808973068
TG,Thurgau,47.56884819,9.090522451
VS,Valais/Wallis,46.20955542,7.604510105
VD,Vaud,46.57069109,6.657498408
GE,Genève,46.21657265,6.131090585
NE,Neuchâtel,46.99553143,6.779945337
JU,Jura,47.35090438,7.155997072
BE,Bern/Berne,46.82205041,7.625278926
